Name,Protein,Carbs,Fat,Fiber,Sugar,Water,Sodium,Calcium,Iron,Potassium,Cholesterol,Calories
"Asparagus, fresh, cooked, no added fat",2.36,4.16,0.13,2.3,2.02,92.41,127,26,2.29,217,0,27.25
"Asparagus, frozen, cooked with butter or margarine",2.87,1.87,2.58,1.5,0.31,91.75,135,18,0.54,167,4,42.18
"Asparagus, frozen, cooked with oil",2.86,1.86,3.31,1.5,0.31,91.1,115,18,0.55,167,0,48.67
"Asparagus, frozen, cooked, fat added, NS as to fat type",2.86,1.86,2.94,1.5,0.31,91.42,125,18,0.55,167,2,45.34
"Asparagus, frozen, cooked, no added fat",2.94,1.91,0.42,1.6,0.32,93.82,119,18,0.56,171,0,23.18
"Asparagus, raw",2.2,3.88,0.12,2.1,1.88,93.22,2,24,2.14,202,0,25.4
Avocado dressing,1.9,7.36,43.33,0.1,6.67,45.03,867,34,0.35,58,40,427.01
"Avocado, for use on a sandwich",2.0,8.53,14.66,6.7,0.66,73.23,7,12,0.55,485,0,174.06
"Avocado, raw",2.0,8.53,14.66,6.7,0.66,73.23,7,12,0.55,485,0,174.06
Baby Ruth,5.4,64.8,21.6,2.0,54.0,6.99,230,47,0.63,249,0,475.2
Bacardi cocktail,0.08,16.11,0.08,0.0,16.11,75.33,77,2,0.09,22,0,65.48
"Bacon and cheese sandwich, with spread",13.7,26.13,17.02,1.0,5.23,38.66,923,718,2.0,218,43,312.5
Bacon and egg sandwich,13.42,21.23,12.79,1.0,2.41,50.43,514,114,2.28,168,171,253.71
Bacon and tomato dressing,1.8,2.0,35.0,0.2,2.0,58.7,905,4,0.27,108,4,330.2
Bacon bits,32.0,28.6,25.9,10.2,0.0,8.0,1770,101,0.72,145,0,475.5
Bacon on biscuit,10.52,37.56,20.99,2.2,3.38,27.34,1069,62,2.53,178,14,381.23
"Bacon or side pork, fresh, cooked",33.92,1.7,35.09,0.0,0.0,23.65,1684,11,0.95,499,99,458.29
"Bacon sandwich, with spread",17.48,30.38,18.0,1.4,3.26,30.84,902,132,2.37,244,36,353.44
"Bacon soup, cream of, prepared with water",1.21,3.63,2.93,0.0,0.27,91.2,358,9,0.54,25,4,45.73
"Bacon strip, meatless",11.69,5.31,29.52,2.6,0.0,48.98,1465,23,2.41,170,0,333.68
"Bacon, NS as to type of meat, cooked",33.92,1.7,35.09,0.0,0.0,23.65,1684,11,0.95,499,99,458.29
"Bacon, NS as to type of meat, reduced sodium, cooked",13.33,4.8,20.0,0.0,0.0,58.93,900,10,0.72,156,100,252.52
"Bacon, for use on a sandwich",33.92,1.7,35.09,0.0,0.0,23.65,1684,11,0.95,499,99,458.29
"Bacon, for use with vegetables",33.92,1.7,35.09,0.0,0.0,23.65,1684,11,0.95,499,99,458.29
"Bacon, lettuce, and tomato sandwich with spread",7.94,21.04,10.26,1.5,3.31,58.67,527,88,1.55,210,14,208.26
"Bacon, lettuce, and tomato submarine sandwich, with spread",10.06,26.66,6.41,1.6,3.61,55.03,354,210,2.14,186,13,204.57
"Bacon, lettuce, tomato, and cheese submarine sandwich, with spread",10.95,15.77,13.94,1.3,1.44,56.64,699,158,1.07,218,32,232.34
Bagel,10.56,52.38,1.32,1.6,8.43,33.81,422,105,3.57,107,0,263.64
Bagel chips,12.34,66.36,15.14,4.1,6.02,5.05,233,24,5.05,140,0,451.06
